Gender,shoulderlength,waistcircumference,Age,Heightin,Weightlbs
0,140,972,29,65,178
1,145,871,25,63,145
0,151,903,39,66,180
1,125,1036,24,62,153
0,165,928,23,69,195
1,140,835,20,62,141
0,138,779,30,64,130
1,140,665,25,61,116
0,165,1149,25,73,255
1,149,671,23,63,118
0,147,992,50,70,187
1,145,769,23,61,131
0,161,989,40,71,205
1,149,850,29,63,145
0,151,933,25,69,175
1,141,936,23,64,159
0,125,744,27,67,121
1,145,758,45,67,140
0,162,714,27,67,118
1,159,888,23,63,142
0,137,1147,28,66,200
1,141,941,24,64,147
0,137,976,42,68,189
1,144,812,22,66,167
0,146,1077,43,70,230
1,139,704,23,65,120
0,155,835,25,68,150
1,119,1027,27,63,154
0,155,797,23,69,162
1,152,885,37,63,138
0,154,969,22,72,200
1,138,872,31,64,145
0,149,918,30,72,200
1,130,1041,44,63,156
0,148,776,34,66,158
1,143,859,28,63,150
0,162,1124,28,70,245
1,126,1022,39,68,183
0,149,1146,25,71,230
1,140,790,28,64,143
0,155,797,23,66,140
1,155,711,22,65,125
0,153,1032,25,73,215
1,136,941,44,63,162
0,170,1005,24,75,226
1,138,1076,45,64,161
0,165,921,26,72,190
1,138,797,26,69,125
0,161,1132,51,75,255
1,142,904,24,80,160
0,154,988,26,69,205
1,162,979,50,71,198
0,135,797,23,70,145
1,135,888,27,67,160
0,130,897,44,65,157
1,147,769,49,65,135
0,162,1145,30,70,223
1,142,807,21,63,125
0,140,1003,53,63,175
1,133,839,24,63,130
0,159,1175,29,70,245
1,134,975,48,64,143
0,152,987,34,69,185
1,127,1127,40,64,180
0,146,1043,34,68,191
1,137,930,37,68,166
0,160,842,19,77,180
1,146,907,37,65,150
0,153,915,31,70,174
1,152,919,48,60,127
0,156,1076,26,73,238
1,144,839,23,66,130
0,162,968,31,72,215
1,137,697,23,64,120
0,147,822,28,66,172
1,144,1088,32,66,180
0,139,1108,31,68,220
1,132,805,29,65,129
0,153,719,22,70,140
1,130,844,37,67,140
0,151,869,26,66,145
1,139,915,44,66,153
0,155,931,28,66,200
1,127,862,44,65,143
0,139,939,32,65,180
1,123,835,31,65,135
0,154,884,28,75,192
1,136,1000,26,64,165
0,143,912,25,66,185
1,142,789,24,60,125
0,150,812,21,71,155
1,130,777,24,64,120
0,165,957,24,69,185
1,159,796,20,66,130
0,185,1008,25,74,206
1,139,1017,31,64,198
0,141,1121,35,69,212
1,139,1074,22,59,150
0,160,946,25,71,190
1,139,688,21,64,135
0,148,1029,22,69,235
1,149,713,24,63,110
0,138,913,25,67,163
1,148,1035,25,67,178
0,150,828,24,68,160
1,144,827,39,62,127
0,157,972,29,71,192
1,137,950,28,64,160
0,139,694,29,64,103
1,149,805,28,66,130
0,138,872,40,66,175
1,122,896,49,63,150
0,150,1010,27,72,218
1,138,905,27,63,180
0,149,1141,36,72,250
1,133,833,32,64,130
0,154,908,24,71,181
1,137,1055,30,69,205
0,172,1091,24,71,248
